name,cn,attach
Bein Series 2,http://iptv.ndasat.com:88/live///1459.ts,Arabic Vip 
Bein Travel,http://iptv.ndasat.com:88/live///2416.ts,Arabic Vip 
Bein-Fatafeat,http://iptv.ndasat.com:88/live///1487.ts,Arabic Vip 
Bein-Fox HD,http://iptv.ndasat.com:88/live///3174.ts,Arabic Vip 
Bein-Fox Movies HD,http://iptv.ndasat.com:88/live///3173.ts,Arabic Vip 
Bein-Gourmet,http://iptv.ndasat.com:88/live///2593.ts,Arabic Vip 
Bein-Movies1,http://iptv.ndasat.com:88/live///969.ts,Arabic Vip 
Bein-Movies2,http://iptv.ndasat.com:88/live///968.ts,Arabic Vip 
Bein-Movies3,http://iptv.ndasat.com:88/live///1068.ts,Arabic Vip 
Bein-Movies4,http://iptv.ndasat.com:88/live///1405.ts,Arabic Vip 
Fox Crime AR,http://iptv.ndasat.com:88/live///2405.ts,Arabic Vip 
Fox Life AR,http://iptv.atlasiptv.net:88/live///3960.ts,Arabic Vip 
Fox Riwayat,http://iptv.atlasiptv.net:88/live///3968.ts,Arabic Vip 
My Cinema,http://iptv.atlasiptv.net:88/live///3953.ts,Arabic Vip 
Myhd-Animal Planet,http://iptv.ndasat.com:88/live///1610.ts,Arabic Vip 
MyHD-FoxAction,http://iptv.ndasat.com:88/live///1718.ts,Arabic Vip 
MyHD-FoxFamily,http://iptv.ndasat.com:88/live///1717.ts,Arabic Vip 
MyHd-FX,http://iptv.ndasat.com:88/live///2394.ts,Arabic Vip 
Myhd-RotanaAflam,http://iptv.ndasat.com:88/live///3180.ts,Arabic Vip 
Myhd-RotanaCinema,http://iptv.ndasat.com:88/live///3179.ts,Arabic Vip 
Myhd-RotanaClassic,http://iptv.ndasat.com:88/live///3178.ts,Arabic Vip 
Myhd-RotanaDrama,http://iptv.ndasat.com:88/live///3176.ts,Arabic Vip 
Myhd-RotanaKhalijia,http://iptv.ndasat.com:88/live///3177.ts,Arabic Vip 
Myhd-RotanaMusic,http://iptv.ndasat.com:88/live///3175.ts,Arabic Vip 
Nat Geo AR,http://iptv.ndasat.com:88/live///1611.ts,Arabic Vip 
Nat Geo People AR,http://iptv.atlasiptv.net:88/live///3964.ts,Arabic Vip 
Nat Geo Wild AR,http://iptv.ndasat.com:88/live///1609.ts,Arabic Vip 
Outdoor Channel AR,http://iptv.atlasiptv.net:88/live///3954.ts,Arabic Vip 
SeeVi-Alaoula,http://iptv.ndasat.com:88/live///2047.ts,Arabic Vip 
SeeVi-Chouf,http://iptv.ndasat.com:88/live///2045.ts,Arabic Vip 
SeeVi-Drama,http://iptv.ndasat.com:88/live///2046.ts,Arabic Vip 
SeeVi-Shamiya HD,http://iptv.ndasat.com:88/live///2044.ts,Arabic Vip 
Al Adjwaa,http://iptv.ndasat.com:88/live///2158.ts,Algeria
AL HADDAF TV,http://iptv.ndasat.com:88/live///559.ts,Algeria
Al Magharibia,http://iptv.ndasat.com:88/live///430.ts,Algeria
Al Magharibia 2,http://iptv.ndasat.com:88/live///1043.ts,Algeria
Algerie 3,http://iptv.ndasat.com:88/live///432.ts,Algeria
Bahia Tv,http://iptv.ndasat.com:88/live///1563.ts,Algeria
Berbere Jeunesse,http://iptv.ndasat.com:88/live///1551.ts,Algeria
Berbere Music,http://iptv.ndasat.com:88/live///1552.ts,Algeria
Berbere TV,http://iptv.ndasat.com:88/live///1550.ts,Algeria
Beur Tv,http://iptv.ndasat.com:88/live///563.ts,Algeria
Canal Algerie,http://iptv.ndasat.com:88/live///427.ts,Algeria
Chams TV,http://iptv.ndasat.com:88/live///533.ts,Algeria
Dzair news,http://iptv.ndasat.com:88/live///565.ts,Algeria
Dzair TV,http://iptv.ndasat.com:88/live///446.ts,Algeria
ECHOROKTV NEWS,http://iptv.ndasat.com:88/live///560.ts,Algeria
Echorouk Tv,http://iptv.ndasat.com:88/live///425.ts,Algeria
EchoroukBenna,http://iptv.ndasat.com:88/live///1044.ts,Algeria
El Bilad News ,http://iptv.ndasat.com:88/live///428.ts,Algeria
El Djazaria Tv,http://iptv.ndasat.com:88/live///433.ts,Algeria
El Hoggar,http://iptv.ndasat.com:88/live///3602.ts,Algeria
Ennahar Algerie,http://iptv.ndasat.com:88/live///426.ts,Algeria
ENTV,http://iptv.ndasat.com:88/live///569.ts,Algeria
Numedia News,http://iptv.ndasat.com:88/live///1422.ts,Algeria
Samira Tv,http://iptv.ndasat.com:88/live///449.ts,Algeria
Tamazigh,http://iptv.ndasat.com:88/live///561.ts,Algeria
TV CORAN,http://iptv.ndasat.com:88/live///972.ts,Algeria
Almustakila,http://iptv.ndasat.com:88/live///1022.ts,Tunisia
Attasia,http://iptv.ndasat.com:88/live///438.ts,Tunisia
Carthage,http://iptv.ndasat.com:88/live///1531.ts,Tunisia
El Djanoubia,http://iptv.ndasat.com:88/live///441.ts,Tunisia
El Hiwar Tounsi,http://iptv.ndasat.com:88/live///445.ts,Tunisia
Hannibal Tv,http://iptv.ndasat.com:88/live///437.ts,Tunisia
M-Tunisie,http://iptv.ndasat.com:88/live///1418.ts,Tunisia
National 1,http://iptv.ndasat.com:88/live///434.ts,Tunisia
National 2,http://iptv.ndasat.com:88/live///435.ts,Tunisia
Nessma,http://iptv.ndasat.com:88/live///436.ts,Tunisia
Telvza,http://iptv.ndasat.com:88/live///440.ts,Tunisia
Tounesna,http://iptv.ndasat.com:88/live///443.ts,Tunisia
Zaytoona,http://iptv.ndasat.com:88/live///883.ts,Tunisia
Afrah TV,http://iptv.atlasiptv.net:88/live///3950.ts,Egypte
Al Ahly Club,http://iptv.atlasiptv.net:88/live///3949.ts,Egypte
Al Assema,http://iptv.ndasat.com:88/live///622.ts,Egypte
Al Assema 2,http://iptv.ndasat.com:88/live///623.ts,Egypte
Al hadath Alyaoum,http://iptv.ndasat.com:88/live///237.ts,Egypte
AL Hayat,http://iptv.ndasat.com:88/live///626.ts,Egypte
AL Hayat Musalsalat,http://iptv.ndasat.com:88/live///1448.ts,Egypte
AL Hayat2,http://iptv.ndasat.com:88/live///1501.ts,Egypte
AL Kahera Wa El Nass,http://iptv.ndasat.com:88/live///829.ts,Egypte
AL Kahera Wa El Nass +2,http://iptv.ndasat.com:88/live///1585.ts,Egypte
Al Mawled,http://iptv.atlasiptv.net:88/live///3940.ts,Egypte
AL Mehwar,http://iptv.ndasat.com:88/live///833.ts,Egypte
AL Nahar,http://iptv.ndasat.com:88/live///620.ts,Egypte
Al Nahar Drama,http://iptv.ndasat.com:88/live///619.ts,Egypte
AL Sa3a Aflam,http://iptv.atlasiptv.net:88/live///3948.ts,Egypte
Al Sa3a Comedy,http://iptv.atlasiptv.net:88/live///3945.ts,Egypte
AL-Masriyah,http://iptv.ndasat.com:88/live///832.ts,Egypte
AL-Thaniya,http://iptv.ndasat.com:88/live///840.ts,Egypte
CBC,http://iptv.ndasat.com:88/live///409.ts,Egypte
CBC Drama,http://iptv.ndasat.com:88/live///411.ts,Egypte
CBC Extra,http://iptv.ndasat.com:88/live///410.ts,Egypte
CBC Sofra,http://iptv.ndasat.com:88/live///412.ts,Egypte
Cima,http://iptv.ndasat.com:88/live///860.ts,Egypte
